plate_no	week_number	generation	read_number	date	cocktail_no	verified_crystal	image_url	solution_components	class_10way	skin	phase_precip	precip_crystal	clear	phase_crystal	precip	phase	precip_skin	crystal	garbage
X000009786	2	8	X0000097860617200803211255	2008-03-21 12:55:00	C0047		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860617200803211255.jpg	Calcium acetate;Sodium acetate trihydrate	clear	0.0468	0.0134	0.078	0.2302	0.0488	0.1058	0.2196	0.0644	0.181	0.012
X000009786	2	8	X0000097860621200803211255	2008-03-21 12:55:00	C0048		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860621200803211255.jpg	Calcium chloride dihydrate;Sodium acetate trihydrate	crystal	0.0828	0.0098	0.0808	0.1948	0.0584	0.0928	0.1772	0.0668	0.2158	0.0208
X000009786	2	8	X0000097860769200803211253	2008-03-21 12:53:00	C0049		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860769200803211253.jpg	Calcium chloride dihydrate;Sodium acetate trihydrate;MPD	precip	0.0314	0.033	0.1424	0.1122	0.0352	0.2242	0.1262	0.1306	0.148	0.0168
X000009786	2	8	X0000097860773200803211253	2008-03-21 12:53:00	C0050		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860773200803211253.jpg	Glycerol anhydrous;Potassium sodium tartrate tetrahydrate	clear	0.048	0.0088	0.0618	0.2524	0.0424	0.0842	0.1952	0.0478	0.2392	0.0202
X000009786	2	8	X0000097860777200803211253	2008-03-21 12:53:00	C0051		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860777200803211253.jpg	Ammonium phosphate monobasic;Glycerol anhydrous	phase	0.1018	0.0142	0.0744	0.1726	0.0632	0.0922	0.207	0.0728	0.1852	0.0166
X000009786	2	8	X0000097860781200803211253	2008-03-21 12:53:00	C0052		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860781200803211253.jpg	Lithium bromide;Sodium acetate trihydrate	precip	0.0298	0.0272	0.2126	0.0556	0.0326	0.2428	0.0784	0.1932	0.116	0.0118
X000009786	2	8	X0000097860785200803211253	2008-03-21 12:53:00	C0053		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860785200803211253.jpg	Lithium bromide;Sodium citrate tribasic dihydrate	precip	0.0152	0.0318	0.2234	0.0622	0.024	0.2506	0.0832	0.2002	0.1004	0.009
X000009786	2	8	X0000097860789200803211253	2008-03-21 12:53:00	C0054		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860789200803211253.jpg	Lithium bromide;MES monohydrate	crystal	0.0604	0.0106	0.0704	0.2146	0.062	0.091	0.1728	0.0524	0.2504	0.0154
X000009786	2	8	X0000097860793200803211253	2008-03-21 12:53:00	C0055		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860793200803211253.jpg	Lithium bromide;Bis-Tris Propane	clear	0.0418	0.0164	0.0706	0.232	0.0518	0.1092	0.2288	0.0634	0.1698	0.0162
X000009786	2	8	X0000097860797200803211253	2008-03-21 12:53:00	C0056		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860797200803211253.jpg	Lithium bromide;Sodium citrate tribasic dihydrate	precip	0.0118	0.0332	0.1864	0.0662	0.0244	0.2728	0.0804	0.2102	0.0996	0.015
X000009786	2	8	X0000097860801200803211253	2008-03-21 12:53:00	C0057		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860801200803211253.jpg	Lithium bromide;Tris	phase	0.046	0.0154	0.069	0.2232	0.0474	0.104	0.2302	0.0576	0.1926	0.0146
X000009786	2	8	X0000097860805200803211253	2008-03-21 12:53:00	C0058		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860805200803211253.jpg	Lithium bromide;TAPS	clear	0.0486	0.014	0.0724	0.2336	0.0534	0.0944	0.2104	0.052	0.2066	0.0146
X000009786	2	8	X0000097860809200803211253	2008-03-21 12:53:00	C0059		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860809200803211253.jpg	Lithium chloride;Sodium acetate trihydrate	crystal	0.0788	0.0074	0.067	0.2208	0.052	0.0798	0.1716	0.0626	0.2326	0.0274
X000009786	2	8	X0000097860813200803211253	2008-03-21 12:53:00	C0060		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860813200803211253.jpg	Lithium chloride;HEPES	clear	0.0374	0.0168	0.0716	0.2444	0.0454	0.1078	0.2212	0.054	0.1852	0.0162
X000009786	2	8	X0000097860961200803211251	2008-03-21 12:51:00	C0061		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860961200803211251.jpg	Lithium chloride;CAPS	clear	0.042	0.0156	0.073	0.2322	0.0472	0.1098	0.2256	0.056	0.1834	0.0152
X000009786	2	8	X0000097860965200803211251	2008-03-21 12:51:00	C0062		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860965200803211251.jpg	Lithium chloride;MES monohydrate	phase	0.0564	0.0152	0.0712	0.2084	0.051	0.1	0.2282	0.0688	0.184	0.0168
X000009786	2	8	X0000097860969200803211251	2008-03-21 12:51:00	C0063		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860969200803211251.jpg	Lithium chloride;Bis-Tris Propane	clear	0.0468	0.0168	0.0704	0.2296	0.0472	0.1088	0.2276	0.0618	0.1754	0.0156
X000009786	2	8	X0000097860973200803211251	2008-03-21 12:51:00	C0064		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860973200803211251.jpg	Lithium chloride;Tris	phase	0.0442	0.0156	0.0664	0.23	0.0508	0.1036	0.234	0.057	0.183	0.0154
X000009786	2	8	X0000097860977200803211251	2008-03-21 12:51:00	C0065		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860977200803211251.jpg	Lithium chloride;Sodium citrate tribasic dihydrate	precip	0.0198	0.0332	0.2176	0.068	0.0258	0.2414	0.0848	0.1832	0.1156	0.0106
X000009786	2	8	X0000097860981200803211251	2008-03-21 12:51:00	C0066		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860981200803211251.jpg	Lithium chloride;TAPS	clear	0.0394	0.02	0.0726	0.2304	0.0456	0.1134	0.2246	0.0618	0.176	0.0162
X000009786	2	8	X0000097860985200803211251	2008-03-21 12:51:00	C0067		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860985200803211251.jpg	Magnesium acetate tetrahydrate;Bis-Tris Propane	clear	0.0386	0.0168	0.0708	0.237	0.0448	0.1138	0.2258	0.0624	0.1734	0.0166
X000009786	2	8	X0000097860989200803211251	2008-03-21 12:51:00	C0068		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860989200803211251.jpg	Magnesium acetate tetrahydrate;TAPS	clear	0.0382	0.0178	0.0754	0.2328	0.0434	0.1142	0.2202	0.0558	0.187	0.0152
X000009786	2	8	X0000097860993200803211251	2008-03-21 12:51:00	C0069		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860993200803211251.jpg	Magnesium acetate tetrahydrate;Sodium citrate tribasic dihydrate	clear	0.036	0.018	0.0728	0.2334	0.0466	0.1152	0.2298	0.0608	0.1706	0.0168
X000009786	2	8	X0000097860997200803211250	2008-03-21 12:50:00	C0070		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860997200803211250.jpg	Magnesium acetate tetrahydrate;MES monohydrate	phase	0.0474	0.0164	0.0702	0.2216	0.0498	0.1038	0.2264	0.0592	0.1888	0.0164
X000009786	2	8	X0000097861001200803211250	2008-03-21 12:50:00	C0071		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861001200803211250.jpg	Magnesium acetate tetrahydrate;Tris	phase	0.049	0.0166	0.069	0.2262	0.0508	0.101	0.2294	0.0556	0.1868	0.0156
X000009786	2	8	X0000097861005200803211250	2008-03-21 12:50:00	C0072		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861005200803211250.jpg	Magnesium acetate tetrahydrate;Sodium acetate trihydrate	clear	0.0484	0.0154	0.073	0.2252	0.047	0.1066	0.2224	0.056	0.1896	0.0164
X000009786	2	8	X0000097861153200803211248	2008-03-21 12:48:00	C0073		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861153200803211248.jpg	Magnesium acetate tetrahydrate;Bis-Tris Propane	phase	0.0502	0.0152	0.07	0.228	0.0484	0.0934	0.2336	0.0622	0.1878	0.0112
X000009786	2	8	X0000097861157200803211248	2008-03-21 12:48:00	C0074		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861157200803211248.jpg	Magnesium chloride hexahydrate;Sodium acetate trihydrate	clear	0.0384	0.0156	0.067	0.2488	0.0486	0.11	0.2154	0.0572	0.1828	0.0162
X000009786	2	8	X0000097861161200803211248	2008-03-21 12:48:00	C0075		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861161200803211248.jpg	Magnesium chloride hexahydrate;Sodium citrate tribasic dihydrate	crystal	0.0422	0.0254	0.12	0.1494	0.0374	0.1648	0.1394	0.09	0.218	0.0134
X000009786	2	8	X0000097861165200803211248	2008-03-21 12:48:00	C0076		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861165200803211248.jpg	Magnesium chloride hexahydrate;HEPES	clear	0.0542	0.014	0.0716	0.2262	0.055	0.0954	0.2092	0.0584	0.1996	0.0164
X000009786	2	8	X0000097861169200803211248	2008-03-21 12:48:00	C0077		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861169200803211248.jpg	Magnesium chloride hexahydrate;Tris	crystal	0.1152	0.0122	0.1072	0.136	0.062	0.0914	0.1212	0.0968	0.2072	0.0508
X000009786	2	8	X0000097861173200803211248	2008-03-21 12:48:00	C0078		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861173200803211248.jpg	Magnesium chloride hexahydrate;Sodium citrate tribasic dihydrate	precip	0.0274	0.0202	0.169	0.0778	0.0242	0.2524	0.0902	0.179	0.1468	0.013
X000009786	2	8	X0000097861177200803211248	2008-03-21 12:48:00	C0079		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861177200803211248.jpg	Magnesium chloride hexahydrate;MES monohydrate	phase	0.0586	0.0172	0.077	0.1996	0.0502	0.0994	0.2228	0.0636	0.1902	0.0214
X000009786	2	8	X0000097861181200803211248	2008-03-21 12:48:00	C0080		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861181200803211248.jpg	Magnesium chloride hexahydrate;Bis-Tris Propane	clear	0.0444	0.0162	0.0696	0.2226	0.0538	0.106	0.1982	0.0562	0.2168	0.0162
X000009786	2	8	X0000097861185200803211248	2008-03-21 12:48:00	C0081		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861185200803211248.jpg	Magnesium sulfate heptahydrate;TAPS	clear	0.0386	0.0156	0.0706	0.2406	0.0442	0.1118	0.2256	0.0564	0.1802	0.0164
X000009786	2	8	X0000097861189200803211248	2008-03-21 12:48:00	C0082		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861189200803211248.jpg	Magnesium sulfate heptahydrate;Tris	phase	0.0418	0.017	0.072	0.2226	0.0498	0.107	0.2258	0.0574	0.1898	0.0168
X000009786	2	8	X0000097861193200803211248	2008-03-21 12:48:00	C0083		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861193200803211248.jpg	Magnesium sulfate heptahydrate;Bis-Tris Propane	clear	0.048	0.0154	0.073	0.2244	0.054	0.1016	0.2152	0.0534	0.1962	0.0188
X000009786	2	8	X0000097861197200803211248	2008-03-21 12:48:00	C0084		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861197200803211248.jpg	Magnesium sulfate heptahydrate;Sodium acetate trihydrate	phase	0.05	0.0166	0.086	0.204	0.0562	0.1028	0.2068	0.0636	0.2016	0.0124
X000009786	2	8	X0000097861345200803211246	2008-03-21 12:46:00	C0085		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097861345200803211246.jpg	Magnesium sulfate heptahydrate;HEPES	clear	0.0534	0.0098	0.0648	0.2384	0.0434	0.0918	0.1968	0.0512	0.232	0.0184
